Administered,Total Doses Administered Daily,Daily Count People Receiving Dose 1,TotalDosesAdministeredCumulative,PeopleReceiving1orMoreDosesCumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,DailyCountofPeopleFullyVaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated,State,Date,NewDeaths,7-Day Moving Avg,Historic Deaths
415635671,826179,223840,415635671,218645217,199375,764658,211641,193749332,201804,United States,Oct 18 2021,1257,1451,1013
414809492,268422,84069,414809492,218421377,199727,768083,84421,193537691,203201,United States,Oct 17 2021,708,1401,13
414541070,489603,141287,414541070,218337308,201060,774447,145146,193453270,206143,United States,Oct 16 2021,929,1406,0
414051467,1044746,262284,414051467,218196021,202015,780753,278071,193308124,209485,United States,Oct 15 2021,1984,1427,58
413006721,904849,226623,413006721,217933737,205099,793756,229711,193030053,214156,United States,Oct 14 2021,1558,1462,7
412101872,898682,227954,412101872,217707114,208639,808540,229174,192800342,217960,United States,Oct 13 2021,1780,1487,59
411203190,920128,229569,411203190,217479160,211666,826401,234466,192571168,222280,United States,Oct 12 2021,1944,1517,10
410283062,850152,226302,410283062,217249591,213911,839056,221415,192336702,225548,United States,Oct 11 2021,910,1533,47
409432910,312971,93401,409432910,217023289,217009,857093,105015,192115287,230680,United States,Oct 10 2021,741,1578,298
409119939,533740,147970,409119939,216929888,218903,864485,168542,192010272,234342,United States,Oct  9 2021,1072,1609,0
408586199,1135768,283872,408586199,216781918,222672,877808,310767,191841730,239928,United States,Oct  8 2021,2235,1646,40
407450431,1008341,251408,407450431,216498046,227371,902034,256344,191530963,249814,United States,Oct  7 2021,1733,1634,16
406442090,1023707,249139,406442090,216246638,232985,922837,259410,191274619,259080,United States,Oct  6 2021,1989,1662,51
405418383,1008710,245285,405418383,215997499,238806,938341,257342,191015209,266666,United States,Oct  5 2021,2055,1693,0
404409673,976412,247985,404409673,215752214,245446,955033,257340,190757867,273461,United States,Oct  4 2021,1227,1704,69
403433261,364716,106660,403433261,215504229,252827,961808,130648,190500527,268731,United States,Oct  3 2021,955,1739,24
403068545,627001,174355,403068545,215397569,254768,967941,207645,190369879,270944,United States,Oct  2 2021,1332,1749,0
402441544,1305353,316768,402441544,215223214,258878,973998,379968,190162234,274094,United States,Oct  1 2021,2151,1767,42
401136191,1153962,290702,401136191,214906446,259585,927681,321206,189782266,279065,United States,Sep 30 2021,1930,1802,34
399982229,1132232,289888,399982229,214615744,254563,859001,312512,189461060,280266,United States,Sep 29 2021,2206,1821,50
398849997,1125553,291765,398849997,214325856,249443,792039,304905,189148548,283740,United States,Sep 28 2021,2129,1834,22
397724444,1023838,299651,397724444,214034091,245087,727566,224233,188843643,289245,United States,Sep 27 2021,1472,1864,447
396700606,407648,120247,396700606,213734440,240257,679532,146142,188619410,307552,United States,Sep 26 2021,1027,1838,27
396292958,669398,203127,396292958,213614193,240094,664782,229694,188473268,310288,United States,Sep 25 2021,1456,1861,0
395623560,981137,321714,395623560,213411066,240412,643616,414761,188243574,316954,United States,Sep 24 2021,2400,1885,61
394642423,673198,255552,394642423,213089352,244659,632254,329618,187828813,326641,United States,Sep 23 2021,2061,1870,24
393969225,663504,254047,393969225,212833800,252595,644589,336829,187499195,335693,United States,Sep 22 2021,2298,1873,70
393305721,674237,261269,393305721,212579753,261005,658594,343440,187162366,343310,United States,Sep 21 2021,2335,1887,9
392631484,687601,265841,392631484,212318484,268863,669326,352381,186818926,348352,United States,Sep 20 2021,1292,1901,52
391943883,304401,119108,391943883,212052643,279176,682675,165290,186466545,352927,United States,Sep 19 2021,1188,1901,33
391639482,521232,205355,391639482,211933535,284610,689200,276359,186301255,354151,United States,Sep 18 2021,1623,1895,0
391118250,901604,351440,391118250,211728180,292201,700005,482572,186024896,357615,United States,Sep 17 2021,2294,1914,37
390216646,759547,311106,390216646,211376740,306310,718873,392980,185542324,360168,United States,Sep 16 2021,2083,1909,25
389457099,761537,312919,389457099,211065634,315144,731320,390145,185149344,360833,United States,Sep 15 2021,2397,1933,108
388695562,749359,316274,388695562,210752715,322819,743188,378736,184759199,362554,United States,Sep 14 2021,2433,1887,5
387946203,781042,338031,387946203,210436441,328366,765980,384408,184380463,377036,United States,Sep 13 2021,1293,1749,53
387165161,350077,157144,387165161,210098410,291850,679762,173858,183996055,334591,United States,Sep 12 2021,1146,1716,19
386815084,596872,258492,386815084,209941266,293439,682097,300606,183822197,334565,United States,Sep 11 2021,1758,1736,0
386218212,1033680,450207,386218212,209682774,291751,676944,500442,183521591,331317,United States,Sep 10 2021,2254,1700,49
385184532,846674,372944,385184532,209232567,292543,678146,397637,183021149,329894,United States,Sep  9 2021,2251,1656,6
384337858,844613,366638,384337858,208859623,297165,685293,402194,182623512,330437,United States,Sep  8 2021,2075,1623,58
383493245,908903,355107,383493245,208492985,305982,698700,480110,182221318,331439,United States,Sep  7 2021,1469,1612,87
382584342,177515,82420,382584342,208137878,315249,701453,87293,181741208,323036,United States,Sep  6 2021,1063,1653,15
382406827,366419,168266,382406827,208055458,363298,808597,173671,181653915,372261,United States,Sep  5 2021,1286,1674,49
382040408,560806,246678,382040408,207887192,367007,817791,277869,181480244,376840,United States,Sep  4 2021,1507,1656,0
381479602,1042095,455748,381479602,207640514,377515,839554,490487,181202375,385891,United States,Sep  3 2021,1941,1652,28
380437507,896697,405297,380437507,207184766,389094,858332,401437,180711888,393032,United States,Sep  2 2021,2022,1634,16
379540810,938465,428360,379540810,206779469,399554,872048,409207,180310451,397581,United States,Sep  1 2021,1996,1597,36
378602345,928173,419975,378602345,206351109,405706,876409,421290,179901244,399560,United States,Aug 31 2021,1758,1548,50
377674172,927521,418762,377674172,205931134,411955,879873,431863,179479954,398729,United States,Aug 30 2021,1213,1535,35
376746651,430780,194230,376746651,205512372,415478,879144,205728,179048091,394979,United States,Aug 29 2021,1161,1523,33
376315871,713148,320236,376315871,205318142,414292,873542,341222,178842363,391307,United States,Aug 28 2021,1475,1485,0
375602723,1173540,536798,375602723,204997906,414617,867000,540474,178501141,385097,United States,Aug 27 2021,1813,1442,42
374429183,992709,478519,374429183,204461108,414991,857840,433282,177960667,376331,United States,Aug 26 2021,1765,1408,31
373436474,968994,471424,373436474,203982589,415402,851310,423061,177527385,368974,United States,Aug 25 2021,1654,1351,17
372467480,952422,463713,372467480,203511165,417820,849335,415474,177104324,362764,United States,Aug 24 2021,1666,1328,4
371515058,922418,443426,371515058,203047452,421795,845533,405609,176688850,355442,United States,Aug 23 2021,1130,1262,77
370592640,391565,185925,370592640,202604026,424975,838341,180029,176283241,348160,United States,Aug 22 2021,892,1222,13
370201075,667349,322513,370201075,202418101,428710,839570,297752,176103212,345548,United States,Aug 21 2021,1180,1192,0
369533726,1109425,539415,369533726,202095588,434416,833603,479112,175805460,337674,United States,Aug 20 2021,1570,1151,14
368424301,946999,481397,368424301,201556173,440389,810641,381781,175326348,324895,United States,Aug 19 2021,1365,1097,29
367477302,955167,488354,367477302,201074776,445204,790270,379590,174944567,315249,United States,Aug 18 2021,1496,1044,15
366522135,925807,491533,366522135,200586422,446796,763831,364221,174564977,303342,United States,Aug 17 2021,1202,917,0
365596328,872075,465690,365596328,200094889,452376,745857,354633,174200756,293482,United States,Aug 16 2021,853,883,8
364724253,400171,212070,364724253,199629199,460212,733128,161748,173846123,283823,United States,Aug 15 2021,682,866,0
364324082,625574,362452,364324082,199417129,463872,726038,242630,173684375,277539,United States,Aug 14 2021,895,844,0
363698508,948697,581228,363698508,199054677,466618,716406,389662,173441745,270002,United States,Aug 13 2021,1186,808,14
362749811,804397,515100,362749811,198473449,473084,710743,314257,173052083,258880,United States,Aug 12 2021,998,759,0
361945414,770095,499502,361945414,197958349,479527,709113,296244,172737826,251809,United States,Aug 11 2021,603,725,12
361175319,799987,530590,361175319,197458847,487132,710289,295200,172441582,245998,United States,Aug 10 2021,968,745,0
360375332,782978,520541,360375332,196928257,488250,704943,287021,172146382,240087,United States,Aug  9 2021,730,708,1
359592354,350535,237688,359592354,196407716,486268,696025,117758,171859361,233211,United States,Aug  8 2021,529,698,0
359241819,558153,381679,359241819,196170028,484673,692894,189872,171741603,230596,United States,Aug  7 2021,644,675,0
358683666,909053,626490,358683666,195788349,479673,686753,311805,171551731,229226,United States,Aug  6 2021,843,640,0
357774613,792991,560199,357774613,195161859,472471,676271,264765,171239926,226267,United States,Aug  5 2021,762,613,0
356981622,778327,552734,356981622,194601660,463609,665960,255563,170975161,224585,United States,Aug  4 2021,745,576,0
356203295,762564,538416,356203295,194048926,454903,657723,253827,170719598,225074,United States,Aug  3 2021,707,540,0
355440731,720550,506667,355440731,193510510,446701,649013,238888,170465771,224744,United States,Aug  2 2021,656,511,0
354720181,328619,226525,354720181,193003843,438318,638060,99455,170226883,222197,United States,Aug  1 2021,373,477,0
354391562,515166,346679,354391562,192777318,434800,628132,180281,170127428,216992,United States,Jul 31 2021,398,459,0
353876396,835681,576076,353876396,192430639,428459,620723,291089,169947147,216112,United States,Jul 30 2021,651,437,0
353040715,720815,498164,353040715,191854563,416012,608204,252991,169656058,215577,United States,Jul 29 2021,503,403,0
352319900,720667,491792,352319900,191356399,404507,598136,258985,169403067,216208,United States,Jul 28 2021,493,381,0
351599233,701590,481003,351599233,190864607,389716,585448,251519,169144082,217359,United States,Jul 27 2021,503,367,0
350897643,643885,447985,350897643,190383604,374243,571518,221062,168892563,217982,United States,Jul 26 2021,418,341,0
350253758,259119,201898,350253758,189935619,358888,560803,63019,168671501,222391,United States,Jul 25 2021,249,322,0
349994639,463303,302295,349994639,189733721,349433,557231,174122,168608482,228467,United States,Jul 24 2021,245,308,0
349531336,748050,488949,349531336,189431426,338271,548184,287339,168434360,230582,United States,Jul 23 2021,414,299,0
348783286,650340,417625,348783286,188942477,318144,530694,257408,168147021,232780,United States,Jul 22 2021,345,292,0
348132946,631852,388256,348132946,188524852,301189,515155,267045,167889613,234322,United States,Jul 21 2021,397,289,0
347501094,604080,372691,347501094,188136596,286413,500861,255880,167622568,235047,United States,Jul 20 2021,323,281,0
346897014,568878,340505,346897014,187763905,273444,489878,251924,167366688,237239,United States,Jul 19 2021,287,283,0
346328136,234113,135709,346328136,187423400,264219,483029,105553,167114764,240316,United States,Jul 18 2021,148,285,0
346094023,399976,224164,346094023,187287691,261543,480557,188926,167009211,240649,United States,Jul 17 2021,179,281,0
345694047,625619,348058,345694047,187063527,259740,480687,302722,166820285,243194,United States,Jul 16 2021,369,276,0
345068428,541569,298939,345068428,186715469,256203,481737,268205,166517563,249221,United States,Jul 15 2021,321,268,0
344526859,531791,284826,344526859,186416530,255072,485475,272119,166249358,255563,United States,Jul 14 2021,340,260,0
343995068,527197,281905,343995068,186131704,255007,491209,271227,165977239,262440,United States,Jul 13 2021,338,247,0
343467871,520941,275934,343467871,185849799,253969,499292,273463,165706012,271856,United States,Jul 12 2021,305,242,0
342946930,216807,116977,342946930,185573865,243385,481575,107881,165432549,262599,United States,Jul 11 2021,117,214,0
342730123,400885,211542,342730123,185456888,230648,457794,206741,165324668,251093,United States,Jul 10 2021,145,215,0
342329238,632967,323297,342329238,185245346,226436,451575,344908,165117927,248525,United States,Jul  9 2021,312,216,0
341696271,567734,291020,341696271,184922049,224104,449768,312604,164773019,247997,United States,Jul  8 2021,265,215,0
341128537,571933,284371,341128537,184631029,224474,455318,320253,164460415,251109,United States,Jul  7 2021,253,218,0
340556604,583777,274644,340556604,184346658,227922,463837,337139,164140162,255504,United States,Jul  6 2021,303,217,0
339972827,396923,201845,339972827,184072014,231345,470143,208668,163803023,258464,United States,Jul  5 2021,106,213,0
339575904,50336,27817,339575904,183870169,241999,492588,27339,163594355,272238,United States,Jul  4 2021,123,225,0
339525568,357353,182058,339525568,183842352,256209,523595,188767,163567016,289831,United States,Jul  3 2021,153,233,0
339168215,620318,306971,339168215,183660294,262442,543851,341207,163378249,305010,United States,Jul  2 2021,302,245,0
338547897,606587,293611,338547897,183353323,268870,564773,334389,163037042,320892,United States,Jul  1 2021,289,258,0
337941310,631568,308510,337941310,183059712,272581,578028,351019,162702653,332734,United States,Jun 30 2021,244,262,0
337309742,627913,298606,337309742,182751202,275833,592920,357861,162351634,345696,United States,Jun 29 2021,277,276,0
336681829,554042,276422,336681829,182452596,279594,611139,305085,161993773,361522,United States,Jun 28 2021,191,280,0
336127787,267386,127284,336127787,182176174,283254,612102,150492,161688688,359838,United States,Jun 27 2021,175,292,0
335860401,499141,225693,335860401,182048890,281136,613446,295019,161538196,363491,United States,Jun 26 2021,241,298,0
335361260,766776,351967,335361260,181823197,281958,624285,452378,161243177,374182,United States,Jun 25 2021,394,300,10
334594484,699371,319582,334594484,181471230,284338,646263,417284,160790799,394756,United States,Jun 24 2021,316,282,0
333895113,735810,331274,333895113,181151648,288962,674005,441755,160373515,419597,United States,Jun 23 2021,338,277,0
333159303,755446,324934,333159303,180820374,292882,703731,468639,159931760,446634,United States,Jun 22 2021,309,277,0
332403857,560785,302041,332403857,180495440,298032,735402,293301,159463121,474104,United States,Jun 21 2021,275,278,0
331843072,276793,112459,331843072,180193399,302357,785642,176060,159169820,520754,United States,Jun 20 2021,216,267,0
331566279,575016,231451,331566279,180080940,302510,802205,369858,158993760,537926,United States,Jun 19 2021,253,258,0
330991263,920623,368623,330991263,179849489,309580,847611,596395,158623902,576907,United States,Jun 18 2021,273,252,0
330070640,893565,351955,330070640,179480866,318111,891863,591170,158027507,613645,United States,Jun 17 2021,278,270,0
329177075,943888,358711,329177075,179128911,325673,931276,631014,157436337,645778,United States,Jun 16 2021,341,286,0
328233187,977144,360984,328233187,178770200,330401,962965,660933,156805323,673135,United States,Jun 15 2021,312,290,0
327256043,912467,332316,327256043,178409216,336612,991137,619847,156144390,695596,United States,Jun 14 2021,202,290,0
326343576,392733,113528,326343576,178076900,342437,1013710,296267,155524543,712805,United States,Jun 13 2021,148,308,0
325950843,892860,280940,325950843,177963372,350709,1031360,642725,155228276,722384,United States,Jun 12 2021,212,347,0
325057983,1230383,428342,325057983,177682432,361170,1056808,853561,154585551,737919,United States,Jun 11 2021,398,374,0
323827600,1169457,404892,323827600,177254090,371504,1081205,816101,153731990,752943,United States,Jun 10 2021,391,402,0
322658143,1165710,391807,322658143,176849198,379911,1092122,822510,152915889,756090,United States,Jun  9 2021,370,414,18
321492433,1174350,404456,321492433,176457391,394673,1085027,818160,152093379,735827,United States,Jun  8 2021,315,432,0
320318083,1070479,373095,320318083,176052935,412251,1098102,740308,151275219,730901,United States,Jun  7 2021,324,435,0
319247604,516281,171432,319247604,175679840,371711,974018,363325,150534911,642596,United States,Jun  6 2021,425,422,0
318731323,1070998,354165,318731323,175508408,375954,955233,751468,150171586,619995,United States,Jun  5 2021,396,397,0
317660325,1401160,500679,317660325,175154243,379818,911451,958727,149420118,572809,United States,Jun  4 2021,594,385,0
316259165,1245874,463742,316259165,174653564,394592,900933,838130,148461391,548192,United States,Jun  3 2021,475,401,0
315013291,1116049,495141,315013291,174189822,416071,915124,680670,147623261,542496,United States,Jun  2 2021,500,411,0
313897242,1265874,527500,313897242,173694681,439782,960331,783677,146942591,564969,United States,Jun  1 2021,337,415,0
312631368,201889,89319,312631368,173167181,459895,984570,122175,146158914,572867,United States,May 31 2021,228,439,0
312429479,384786,201133,312429479,173077862,537943,1144207,205118,146036739,662801,United States,May 30 2021,255,457,0
312044693,764524,381215,312044693,172876729,557625,1183231,421169,145831621,683079,United States,May 29 2021,311,462,0
311280169,1327537,604093,311280169,172495514,607480,1280917,786404,145410452,733179,United States,May 28 2021,707,475,0
309952632,1345206,614097,309952632,171891421,654326,1384940,798259,144624048,792894,United States,May 27 2021,544,470,0
308607426,1432499,661119,308607426,171277324,698305,1480958,837981,143825789,847003,United States,May 26 2021,525,468,0
307174927,1435547,668288,307174927,170616205,744751,1574234,838961,142987808,895917,United States,May 25 2021,506,479,0
305739380,1319348,635656,305739380,169947917,790699,1664855,751713,142148847,942525,United States,May 24 2021,353,493,217
304420032,657959,338909,304420032,169312261,826458,1736437,347066,141397134,979632,United States,May 23 2021,289,496,0
303762073,1448320,730200,303762073,168973352,846233,1775671,771870,141050068,999556,United States,May 22 2021,401,518,0
302313753,2055699,932011,302313753,168243152,871572,1832343,1204408,140278198,1030945,United States,May 21 2021,674,523,0
300258054,2017333,921950,300258054,167311141,894269,1888539,1177024,139073790,1064293,United States,May 20 2021,528,526,0
298240721,2085430,986246,298240721,166389191,894872,1925247,1180375,137896766,1097261,United States,May 19 2021,607,535,0
296155291,2069895,989920,296155291,165402945,845850,1914847,1165219,136716391,1134158,United States,May 18 2021,604,548,0
294085396,1820421,885967,294085396,164413025,798095,1911230,1011462,135551172,1175137,United States,May 17 2021,373,549,0
292264975,932596,477339,292264975,163527058,740288,1880083,486531,134539710,1198545,United States,May 16 2021,439,556,0
291332379,1845026,907568,291332379,163049719,701319,1834655,991599,134053179,1191575,United States,May 15 2021,437,552,0
289487353,2449071,1090890,289487353,162142151,643814,1790160,1437843,133061580,1205360,United States,May 14 2021,696,578,0
287038282,2274290,926176,287038282,161051261,600588,1797893,1407796,131623737,1255710,United States,May 13 2021,590,595,0
284763992,2012630,643087,284763992,160125085,578715,1832391,1438658,130215941,1314428,United States,May 12 2021,702,607,0
282751362,2044575,655635,282751362,159481998,602858,1908352,1452073,128777283,1367148,United States,May 11 2021,612,610,0
280706787,1602393,481321,280706787,158826363,625309,1972675,1175318,127325210,1410704,United States,May 10 2021,422,621,0
279104394,614602,204557,279104394,158345042,647356,2023742,437738,126149892,1443162,United States,May  9 2021,406,629,0
278489792,1533560,505030,278489792,158140485,664570,2061406,1088093,125712154,1464272,United States,May  8 2021,620,643,0
276956232,2503198,788307,276956232,157635455,693141,2105840,1790296,124624061,1475501,United States,May  7 2021,815,643,0
274453034,2515782,773066,274453034,156847148,738421,2162958,1818822,122833765,1484594,United States,May  6 2021,672,641,0
271937252,2544351,812087,271937252,156074082,786334,2237982,1807698,121014943,1507910,United States,May  5 2021,723,654,0
269392901,2494837,812793,269392901,155261995,833381,2314869,1756965,119207245,1530855,United States,May  4 2021,694,672,0
266898064,1959867,635652,266898064,154449202,874920,2371144,1402524,117450280,1535885,United States,May  3 2021,474,650,0
264938197,878249,325055,264938197,153813550,917190,2431663,585508,116047756,1540385,United States,May  2 2021,503,652,0
264059948,1844596,705025,264059948,153488495,940713,2447870,1166692,115462248,1527571,United States,May  1 2021,626,642,0
262215352,2903023,1105268,262215352,152783470,983279,2499308,1853947,114295556,1530410,United States,Apr 30 2021,796,647,0
259312329,3040952,1108455,259312329,151678202,1018252,2554209,1982036,112441609,1537846,United States,Apr 29 2021,768,655,0
256271377,3082556,1141417,256271377,150569747,1059458,2618105,1968311,110459573,1548609,United States,Apr 28 2021,847,658,0
